artist,title,album,url,isDownloaded
Operation Ivy,Sound System (2007 Remaster),,https://music.youtube.com/watch?v=PjOF-Cr2k1Alist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Beastie Boys,Heart Attack Man,Ill Communication,https://music.youtube.com/watch?v=fCFE6TC5ERklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Descendents,Coolidge,All,https://music.youtube.com/watch?v=E0cQd3b8WYIlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Brains,Banned in D.C.,Bad Brains,https://music.youtube.com/watch?v=ki-vwQQ8sj4list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Minor Threat,Stumped,Salad Days,https://music.youtube.com/watch?v=FDoqq39EczQlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Adolescents,I Hate Children,Adolescents,https://music.youtube.com/watch?v=OGhkvzOXAx4list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Faction,Skate & Destroy (feat. Steve Caballero (pro skateboard legend)),Collection 1982-1985,https://music.youtube.com/watch?v=n2Uns3FX80klist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
NOFX,The Bag,,https://music.youtube.com/watch?v=ZYecaMWdYzslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Descendents,Pervert,I Don't Want To Grow Up,https://music.youtube.com/watch?v=t-wsj9anknYlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Rancid,Let's Go,,https://music.youtube.com/watch?v=d07RoAnJVNolist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Suicidal Tendencies,Go Skate! (Possessed To Skate),Still Cyco After All These Years,https://music.youtube.com/watch?v=fIf9WOCPHQclist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
D.R.I.,You Say I'm Scum,Thrash Zone,https://music.youtube.com/watch?v=btGhpYXfL9olist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Religion,Modern Man,,https://music.youtube.com/watch?v=Q20yMvPEJnslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Adolescents,L.A. Girl,Adolescents,https://music.youtube.com/watch?v=Ldy-micKe5Ulist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Descendents,My World,I Don't Want To Grow Up,https://music.youtube.com/watch?v=9IKsgQAHq4clist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Black Flag,Drinking and Driving,In My Head,https://music.youtube.com/watch?v=fltdC1HHITYlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Propagandhi,Showdown (G.E./P.),How to Clean Everything,https://music.youtube.com/watch?v=yioTt2FBBmIlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
RKL,Insane,Reactivate,https://music.youtube.com/watch?v=5CJZUJ83vxYlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
