artist,title,album,url,isDownloaded
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Always in Between (Deluxe),https://music.youtube.com/watch?v=v9I83RpXZ3olist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Kat Dahlia,I Think I'm In Love,My Garden,https://music.youtube.com/watch?v=1hsnH9BV12glist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Script,Superheroes,No Sound Without Silence,https://music.youtube.com/watch?v=tmbEePmIFkIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Nico & Vinz,That's How You Know (feat. Bebe Rexha & Kid Ink),That's How You Know,https://music.youtube.com/watch?v=p2skGviqfUolist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Dean Lewis,Waves,Same Kind Of Different,https://music.youtube.com/watch?v=USHn2FnZk40list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=J2dqEK7pdBQlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tom Walker,Leave a Light On,What a Time To Be Alive (Deluxe Edition),https://music.youtube.com/watch?v=twGmPrJWG4glist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Zara Larsson,Never Forget You,So Good,https://music.youtube.com/watch?v=ogKU5EQ0Wn0list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
blackbear,girls like u,drink bleach,https://music.youtube.com/watch?v=6TQbJILMTqglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
NF,Lie,Perception,https://music.youtube.com/watch?v=1k5QIbweEmUlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
beabadoobee,Cologne,Our Extended Play,https://music.youtube.com/watch?v=egwhbv2eKWslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
blackbear,anxiety,cybersex,https://music.youtube.com/watch?v=ci9aOhBRpP4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Noah Cyrus,Again (feat. XXXTENTACION),Again,https://music.youtube.com/watch?v=3ryXMzPxtCclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Natalie Taylor,Surrender,Surrender,https://music.youtube.com/watch?v=gF5f3FW9mQklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Halsey,Without Me,,https://music.youtube.com/watch?v=ZAfAud_M_mglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
G-Eazy,Hate The Way (feat. Blackbear),,https://music.youtube.com/watch?v=HCQ6uf0HTGwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Hayley Kiyoko,Sleepover,,https://music.youtube.com/watch?v=W6jxPFtIAnwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Trevor Daniel,Lovesick,Nicotine,https://music.youtube.com/watch?v=ms8gpVvn0Bklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
NF,Let You Down,Perception,https://music.youtube.com/watch?v=-z2nfin2hiIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Sleeping With Sirens,Alone (feat. MGK),Feel,https://music.youtube.com/watch?v=lga8SAENylMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,"Don’t Call Me Angel (From ""Charlie’s Angels"")","Don’t Call Me Angel (From ""Charlie’s Angels"")",https://music.youtube.com/watch?v=KHUFlha_hTslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Trevor Daniel,Bitter (feat. Trevor Daniel),,https://music.youtube.com/watch?v=VDriZp6dTiclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauv,Feelings,~how i'm feeling~,https://music.youtube.com/watch?v=baKYuztUi4Ilist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauv,Never Not,~I MISS YOU~,https://music.youtube.com/watch?v=x6TGz7vNNyslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauv,Enemies,I Met You When I Was 18 (The Playlist),https://music.youtube.com/watch?v=JJqZh5nXmvwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauv,Changes,~how i'm feeling~,https://music.youtube.com/watch?v=bwHxTGh1iJ4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauv,Who (feat. BTS),~how i'm feeling~,https://music.youtube.com/watch?v=bmZvCXAhOLElist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lauren Sanderson,Hotel Room,,https://music.youtube.com/watch?v=L9Hlj2bawFIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Snakehips,Don't Leave,Don't Leave,https://music.youtube.com/watch?v=BufrmkPmi2glist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Zedd,Happy Now,Happy Now,https://music.youtube.com/watch?v=xo4T7qXxGsAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tory Lanez,LUV,I Told You,https://music.youtube.com/watch?v=9-QpuK0rpUklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Khalid,OTW (feat. 6LACK & Ty Dolla $ign),OTW,https://music.youtube.com/watch?v=v6myZILeAJwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
French Montana,Unforgettable (feat. Swae Lee),Jungle Rules,https://music.youtube.com/watch?v=48ydDUQ16RElist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Hayley Kiyoko,What I Need (feat. Kehlani),Expectations,https://music.youtube.com/watch?v=FSHKtE5LIMwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
King Princess,Hit the Back,,https://music.youtube.com/watch?v=wX1NpYxeTjMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
