artist,title,url,isDownloaded
All Time Low,A Love Like War,https://www.youtube.com/watch?v=HVTsGk2f3Ho,False
G-Eazy,All The Things You're Searching For,https://www.youtube.com/watch?v=48FIcOFTAq0,True
